,trip_id,passenger_id,pickup_lat,pickup_long,dropoff_lat,dropoff_long,actual_pickup_time,pickup_time,drop_time,Trip purpose
1268,189310466,285e703ad342d6c227b1e9d3c10d160992264b8a68fc40c8425a328712873374,6.92858,79.8646,6.90559,79.8961,2019-11-08 08:50:00,2019-11-08 08:41:00,2019-11-08 09:10:00,education
1273,188715876,28af33916eec015cfd96dee443599d79a3d718cfe283577e4ab4ce4e0de22e10,6.92803,79.8956,6.87252,79.8837,2019-11-05 07:56:00,2019-11-05 07:55:00,2019-11-05 08:38:00,education
1274,188881994,28af33916eec015cfd96dee443599d79a3d718cfe283577e4ab4ce4e0de22e10,6.92797,79.8957,6.87207,79.8838,2019-11-06 07:44:00,2019-11-06 07:44:00,2019-11-06 08:23:00,education
1275,189075199,28af33916eec015cfd96dee443599d79a3d718cfe283577e4ab4ce4e0de22e10,6.92797,79.8957,6.87213,79.8839,2019-11-07 08:00:00,2019-11-07 08:00:00,2019-11-07 08:29:00,education
1276,189290002,28af33916eec015cfd96dee443599d79a3d718cfe283577e4ab4ce4e0de22e10,6.92795,79.8958,6.87223,79.8835,2019-11-08 07:48:00,2019-11-08 07:48:00,2019-11-08 08:23:00,education
1298,188701373,294c3dc873c794c4f66c51f758355527f6269f25bbb33f11fac69f8f9315ba04,6.84079,79.9198,6.85006,79.8731,2019-11-05 06:37:00,2019-11-05 06:31:00,2019-11-05 07:01:00,education
1299,188867654,294c3dc873c794c4f66c51f758355527f6269f25bbb33f11fac69f8f9315ba04,6.8408,79.9202,6.85006,79.8732,2019-11-06 06:24:00,2019-11-06 06:22:00,2019-11-06 06:52:00,education
1300,189055000,294c3dc873c794c4f66c51f758355527f6269f25bbb33f11fac69f8f9315ba04,6.84069,79.92,6.85006,79.8731,2019-11-07 06:45:00,2019-11-07 06:37:00,2019-11-07 07:04:00,education
1340,188870699,2a7d2274bc0c00115d7a9aae50e6e3df30b5205541fd174292747547b8fbe880,6.84128,79.9295,6.89518,79.8574,2019-11-06 06:54:00,2019-11-06 06:46:00,2019-11-06 07:53:00,education
1341,189056788,2a7d2274bc0c00115d7a9aae50e6e3df30b5205541fd174292747547b8fbe880,6.84138,79.9297,6.89506,79.8572,2019-11-07 06:56:00,2019-11-07 06:46:00,2019-11-07 07:42:00,education
1353,188504560,2aab468602e781631574b5bfa87ddccd2fab85e3782a423ab6b4a3919673fc78,6.83117,79.8895,6.91875,79.8711,2019-11-04 06:29:00,2019-11-04 06:19:00,2019-11-04 07:11:00,education
